Capped GPU memory fraction to 0.80
train shards: 251, val shards: 13
train samples: 49,522,309, val samples: 2,494,517
model: 1.81M params
step  20400 | lr 2.94e-04 | loss 0.9322 pol 0.9189 rf 0.0667 acc 69.5% | 14 it/s
step  20500 | lr 2.94e-04 | loss 0.9288 pol 0.9172 rf 0.0578 acc 69.0% | 14 it/s
step  20600 | lr 2.94e-04 | loss 0.9327 pol 0.9228 rf 0.0494 acc 68.5% | 14 it/s
step  20700 | lr 2.93e-04 | loss 0.9273 pol 0.9180 rf 0.0466 acc 68.3% | 14 it/s
step  20800 | lr 2.93e-04 | loss 0.9079 pol 0.8985 rf 0.0475 acc 70.0% | 14 it/s
step  20900 | lr 2.93e-04 | loss 0.8970 pol 0.8879 rf 0.0455 acc 70.4% | 14 it/s
step  21000 | lr 2.93e-04 | loss 0.9027 pol 0.8897 rf 0.0651 acc 70.4% | 14 it/s
step  21100 | lr 2.93e-04 | loss 0.9039 pol 0.8906 rf 0.0668 acc 70.1% | 14 it/s
step  21200 | lr 2.93e-04 | loss 0.9304 pol 0.9181 rf 0.0613 acc 68.9% | 14 it/s
step  21300 | lr 2.93e-04 | loss 0.9310 pol 0.9177 rf 0.0667 acc 68.5% | 14 it/s
step  21400 | lr 2.93e-04 | loss 0.9488 pol 0.9367 rf 0.0602 acc 68.5% | 14 it/s
step  21500 | lr 2.93e-04 | loss 0.9380 pol 0.9266 rf 0.0568 acc 68.8% | 14 it/s
step  21600 | lr 2.93e-04 | loss 0.9058 pol 0.8933 rf 0.0628 acc 70.3% | 14 it/s
step  21700 | lr 2.93e-04 | loss 0.8986 pol 0.8861 rf 0.0626 acc 70.1% | 14 it/s
step  21800 | lr 2.93e-04 | loss 0.9175 pol 0.9058 rf 0.0583 acc 69.7% | 14 it/s
step  21900 | lr 2.93e-04 | loss 0.9082 pol 0.8970 rf 0.0561 acc 69.6% | 14 it/s
step  22000 | lr 2.93e-04 | loss 0.9197 pol 0.9083 rf 0.0574 acc 70.4% | 14 it/s
[eval] step 22000 val_loss 0.9439 val_acc 70.0%
step  22100 | lr 2.92e-04 | loss 0.9164 pol 0.9047 rf 0.0585 acc 70.4% | 14 it/s
step  22200 | lr 2.92e-04 | loss 0.9367 pol 0.9242 rf 0.0626 acc 68.4% | 14 it/s
step  22300 | lr 2.92e-04 | loss 0.9387 pol 0.9256 rf 0.0655 acc 68.2% | 14 it/s
step  22400 | lr 2.92e-04 | loss 0.9524 pol 0.9379 rf 0.0725 acc 67.7% | 14 it/s
step  22500 | lr 2.92e-04 | loss 0.9567 pol 0.9423 rf 0.0720 acc 68.2% | 14 it/s
step  22600 | lr 2.92e-04 | loss 0.9052 pol 0.8913 rf 0.0698 acc 70.4% | 14 it/s
step  22700 | lr 2.92e-04 | loss 0.9148 pol 0.9006 rf 0.0709 acc 70.1% | 14 it/s
step  22800 | lr 2.92e-04 | loss 0.9417 pol 0.9285 rf 0.0661 acc 68.1% | 14 it/s
step  22900 | lr 2.92e-04 | loss 0.9359 pol 0.9220 rf 0.0693 acc 68.5% | 14 it/s
step  23000 | lr 2.92e-04 | loss 0.9400 pol 0.9258 rf 0.0713 acc 68.1% | 14 it/s
step  23100 | lr 2.92e-04 | loss 0.9457 pol 0.9326 rf 0.0659 acc 68.4% | 14 it/s
step  23200 | lr 2.92e-04 | loss 0.9064 pol 0.8956 rf 0.0540 acc 69.5% | 14 it/s
step  23300 | lr 2.92e-04 | loss 0.9084 pol 0.8974 rf 0.0548 acc 69.5% | 14 it/s
step  23400 | lr 2.91e-04 | loss 0.9115 pol 0.9010 rf 0.0525 acc 69.5% | 14 it/s
step  23500 | lr 2.91e-04 | loss 0.9057 pol 0.8957 rf 0.0499 acc 70.2% | 14 it/s
step  23600 | lr 2.91e-04 | loss 0.8918 pol 0.8829 rf 0.0440 acc 71.0% | 14 it/s
step  23700 | lr 2.91e-04 | loss 0.9111 pol 0.9011 rf 0.0498 acc 70.3% | 14 it/s
