Capped GPU memory fraction to 0.80
train shards: 251, val shards: 13
train samples: 35,609,201, val samples: 2,090,714  (filter num_players=6, suit_permute=True)
model: 1.81M params
step  16300 | lr 2.89e-04 | loss 1.1129 pol 1.1044 rf 0.0856 acc 68.9% | 13 it/s
step  16400 | lr 2.89e-04 | loss 1.0826 pol 1.0737 rf 0.0895 acc 71.3% | 13 it/s
step  16500 | lr 2.89e-04 | loss 1.1080 pol 1.1001 rf 0.0786 acc 69.0% | 13 it/s
step  16600 | lr 2.89e-04 | loss 1.1074 pol 1.0993 rf 0.0804 acc 68.8% | 13 it/s
step  16700 | lr 2.89e-04 | loss 1.1027 pol 1.0952 rf 0.0751 acc 69.6% | 13 it/s
step  16800 | lr 2.89e-04 | loss 1.0967 pol 1.0897 rf 0.0698 acc 70.1% | 13 it/s
step  16900 | lr 2.88e-04 | loss 1.0942 pol 1.0873 rf 0.0681 acc 70.3% | 13 it/s
step  17000 | lr 2.88e-04 | loss 1.0867 pol 1.0813 rf 0.0541 acc 71.1% | 13 it/s
step  17100 | lr 2.88e-04 | loss 1.0957 pol 1.0900 rf 0.0565 acc 70.8% | 13 it/s
step  17200 | lr 2.88e-04 | loss 1.1057 pol 1.0983 rf 0.0740 acc 70.2% | 13 it/s
step  17300 | lr 2.88e-04 | loss 1.1054 pol 1.0974 rf 0.0801 acc 69.2% | 13 it/s
step  17400 | lr 2.88e-04 | loss 1.0981 pol 1.0907 rf 0.0738 acc 69.3% | 13 it/s
step  17500 | lr 2.87e-04 | loss 1.1055 pol 1.0981 rf 0.0737 acc 69.6% | 13 it/s
step  17600 | lr 2.87e-04 | loss 1.0968 pol 1.0898 rf 0.0702 acc 70.4% | 13 it/s
step  17700 | lr 2.87e-04 | loss 1.0859 pol 1.0803 rf 0.0559 acc 71.1% | 13 it/s
step  17800 | lr 2.87e-04 | loss 1.0889 pol 1.0836 rf 0.0536 acc 70.8% | 13 it/s
step  17900 | lr 2.87e-04 | loss 1.0958 pol 1.0896 rf 0.0625 acc 70.5% | 13 it/s
step  18000 | lr 2.87e-04 | loss 1.1110 pol 1.1029 rf 0.0812 acc 68.5% | 13 it/s
[eval] step 18000 val_loss 1.1451 val_acc 70.0%
step  18100 | lr 2.86e-04 | loss 1.1023 pol 1.0950 rf 0.0733 acc 69.9% | 13 it/s
step  18200 | lr 2.86e-04 | loss 1.1194 pol 1.1137 rf 0.0565 acc 68.8% | 13 it/s
step  18300 | lr 2.86e-04 | loss 1.1219 pol 1.1169 rf 0.0505 acc 68.2% | 13 it/s
step  18400 | lr 2.86e-04 | loss 1.0959 pol 1.0891 rf 0.0682 acc 69.9% | 13 it/s
step  18500 | lr 2.86e-04 | loss 1.0890 pol 1.0816 rf 0.0741 acc 70.3% | 13 it/s
step  18600 | lr 2.86e-04 | loss 1.1102 pol 1.1032 rf 0.0705 acc 69.6% | 13 it/s
step  18700 | lr 2.85e-04 | loss 1.1151 pol 1.1077 rf 0.0738 acc 68.9% | 13 it/s
step  18800 | lr 2.85e-04 | loss 1.1118 pol 1.1040 rf 0.0781 acc 68.6% | 13 it/s
step  18900 | lr 2.85e-04 | loss 1.0993 pol 1.0920 rf 0.0729 acc 69.3% | 13 it/s
step  19000 | lr 2.85e-04 | loss 1.1073 pol 1.1010 rf 0.0639 acc 69.8% | 13 it/s
step  19100 | lr 2.85e-04 | loss 1.1092 pol 1.1017 rf 0.0746 acc 68.9% | 13 it/s
step  19200 | lr 2.85e-04 | loss 1.1006 pol 1.0934 rf 0.0728 acc 69.2% | 13 it/s
step  19300 | lr 2.84e-04 | loss 1.0998 pol 1.0920 rf 0.0786 acc 69.9% | 13 it/s
step  19400 | lr 2.84e-04 | loss 1.1004 pol 1.0928 rf 0.0765 acc 69.8% | 13 it/s
